eid,labels
720896,1;1;1
229379,1;1;1
720901,1;1;1
163846,5;1;1
229383,1;1;1
196616,1;1;1
720909,1;1;2
163854,5;1;1
196624,1;1;1
720913,1;1;1
196626,1;1;1
196627,1;1;1
229406,2;1;1
229381,1;2;1
75724,2;1;2
39,1;1;1
229416,1;3;1
229417,1;3;1
229384,1;2;1
55,1;1;1
58,1;1;1
229435,1;1;1
753724,4;4;4
229438,1;1;1
753731,4;4;4
688196,1;1;1
753734,4;4;4
434049,1;1;1
229451,1;1;1
316770,1;1;2
78,1;2;1
79,1;2;1
688208,4;4;2
229457,1;1;1
720978,1;1;2
720980,1;1;2
1272505,1;1;1
229464,1;1;2
1267044,2;1;1
229466,1;1;2
229467,1;1;2
163934,1;1;1
720992,1;1;1
163938,1;1;1
38193,1;1;1;1;1
113,1;1;1
721011,2;3;1
759145,1;1;1
721016,5;1;1
688252,4;4;4
688253,4;4;4
163967,2;2;3
1190592,1;1;3
995115,4;4;1
180247,1;1;1
163981,2;2;3
131220,3;4;2
753814,4;4;4
950424,4;1;3
950429,4;2;1
721054,1;1;2
229536,1;1;2
1278115,1;1;1
164004,1;1;1
229542,1;1;1
721063,1;4;1
721064,1;4;1
721066,1;1;2
229548,1;1;3
721069,1;1;2
721071,2;2;2
229552,1;1;3
975476,3;4;4
1278130,2;1;1
753843,1;4;4
229556,1;1;1
721078,1;1;3
229561,1;1;1
753851,1;4;4
164028,1;1;1
753856,1;1;4
753857,1;1;4
164035,2;2;1
164036,2;2;1
38262,1;1;1
164038,6;2;1
1278153,3;4;1
753870,1;1;1
1278161,1;6;2
229589,1;1;1
164055,1;1;2
164057,1;1;1
1278171,1;1;1
164060,1;1;2
164061,1;1;2
164062,1;1;3
164067,1;1;1
164069,1;1;1
164075,1;1;2
1114350,1;1;1
1114351,1;1;1
180264,1;1;2
164090,4;3;1
164091,4;2;1
229634,1;1;1
229635,1;1;1
164101,2;1;1
164103,1;1;1
1114376,1;1;1
1114377,1;1;1
950540,1;1;2
1114381,1;1;1
1114382,1;1;1
244422,1;1;1
1114386,1;1;5
229652,1;3;2
229653,1;3;2
1114391,1;1;1
721176,2;1;1
164121,1;1;2
229659,1;3;2
229661,1;3;2
1114403,1;1;1
721188,1;1;1
229674,1;1;6
753968,4;3;4
284040,1;1;1
753971,4;3;4
753974,4;3;4
1278266,3;1;1
721213,1;1;1
721214,1;1;1
164159,1;1;1
721216,1;1;1
721218,1;1;1
721219,1;1;1
721222,1;1;6
229705,1;1;1
753997,4;3;4
721235,1;1;1;1;1
164180,2;1;2
420580,2;1;2
721244,1;1;1
721245,1;1;1
721248,1;1;1
164193,1;1;1
164198,2;1;2
754027,1;1;1
164204,2;1;2
229742,1;1;2
721249,1;1;1
164208,2;1;2
1278321,1;1;1
164210,1;1;3
1114483,1;1;1
164213,1;1;1
164214,1;1;1
164219,1;1;4
164220,1;1;3
754046,1;1;3
164229,1;1;1
164230,1;1;1
229768,1;1;1
1180041,3;1;1
1180046,1;1;1
229775,1;2;1
229781,1;1;1
1114518,2;1;1
1114520,1;2;1
753732,4;4;4
229786,1;1;1
229789,1;1;1
229791,1;1;1
229793,1;1;1
229795,1;1;1
1278372,1;1;1
229797,1;1;1
229798,1;1;1
731889,6;4;1
164264,1;1;1
164266,1;1;1
229803,1;1;1
721325,1;1;1
164272,4;4;4
164273,4;4;4
754103,1;1;1
440,1;6;6
442,1;1;1
721339,1;1;1
721341,1;1;1
721343,4;1;1
164289,4;5;4
164291,4;4;4
164293,4;5;4
164296,4;4;4
721353,2;1;1
461,6;1;5
754127,2;1;4
721361,1;1;1
721362,1;4;1
721363,1;1;1
721364,1;1;1
470,1;1;1
721368,1;1;1
721370,1;1;1
754140,2;1;4
721373,1;1;1
480,2;1;1
721380,1;1;1
721382,1;1;2
229863,1;1;1
721384,1;1;2
1245673,1;4;2
164333,4;4;4
229870,1;1;1
164336,1;2;1
229873,1;1;1
229874,1;1;1
499,1;1;1
164341,4;3;4
721401,1;1;2
229882,1;1;1
507,1;1;1
229885,1;1;2
899108,1;4;1
950793,1;1;1
721418,1;1;1
721419,2;1;1
720984,2;1;1
721427,1;2;1
229908,1;1;2
164374,1;2;1
754205,1;4;4
229918,1;1;1
164383,1;2;1
754209,1;4;4
754210,1;4;4
229928,4;1;1
721452,4;1;2
1278516,4;4;1
950838,1;1;1
721465,1;1;2
1278523,4;4;1
754236,1;2;6
754237,1;2;6
721470,1;1;2
754239,4;1;3
721475,1;1;1
229959,4;1;1
754248,4;1;2
754249,4;1;2
754253,3;4;1
754255,4;1;2
754256,3;4;1
229970,4;1;2
754259,3;4;1
721492,1;1;2
229977,4;1;1
754267,1;1;1
420105,1;1;1
131679,1;2;1
229984,4;1;1
1315923,1;3;1
950889,1;1;1
164459,1;1;1
164460,1;1;1
754286,1;1;1
1350596,1;1;1
82025,5;4;3
754298,2;1;1
76565,2;1;1
1303534,3;2;2
164483,1;2;1
230023,1;1;1
230024,2;1;1
1180297,1;1;1
164491,1;1;1
754318,3;1;2
164495,1;1;1
230037,3;1;1
1180310,3;1;1
230039,3;1;1
1114783,2;1;1
1114784,2;1;1
1299910,1;1;1;1;1
1278630,1;4;1
21959,1;1;1
731275,3;1;5
164528,1;1;1
230065,6;1;1
164530,1;1;1
230067,1;1;1
852660,1;6;1
164535,3;6;2
164536,3;6;2
164537,3;6;3
175695,1;1;1
131771,1;1;1
164540,4;6;3
21962,1;1;1
164542,1;1;1
164544,1;1;1
164547,1;1;1
164549,4;6;3
1147590,1;4;4
119,1;1;1
1021389,1;1;1
1147600,1;1;1
230098,1;1;1
230099,1;1;1
230100,1;1;1
754390,4;4;4
230103,1;1;1
1147608,1;1;1
754393,4;4;4
87503,1;1;1
754399,3;4;4
754400,3;4;4
1147621,1;4;4
180348,1;1;1
951018,1;1;1
229501,1;1;1
230133,1;1;1
2004436,1;1;1
1254825,1;1;1
230147,2;1;1
775819,4;4;4
131845,1;2;1
230154,4;4;3
153047,2;2;1
164621,1;1;1
230167,1;1;1
164633,2;1;1
1190703,2;1;1
230172,1;1;1
164646,2;1;1
1294472,1;1;3
885565,1;4;1
885572,2;1;1
885574,1;4;1
2004449,4;4;4
885581,2;1;1
885582,2;1;1
1278093,4;4;4
230224,1;1;1
164690,1;1;1
754517,1;1;1
1114972,1;1;1
164702,1;1;1
164705,1;1;2
153062,3;3;1
1114983,1;1;1
164712,1;1;1
153063,2;3;1
230258,1;1;1
885619,2;4;2
885620,1;4;1
230261,1;1;1
